Nazwa,Zwierzeta_lowne,Rok,Ilosc(t),Wartosc(tys.zl)
POLSKA,ogółem,2009,7154,42753
POLSKA,ogółem,2010,8995,63436
POLSKA,ogółem,2011,9270,80265
POLSKA,ogółem,2012,9913,80715
POLSKA,ogółem,2013,9368,64959
POLSKA,ogółem,2014,10829,81507
POLSKA,ogółem,2015,12689,98192
POLSKA,ogółem,2016,13253,115149
POLSKA,ogółem,2017,12231,102032
POLSKA,ogółem,2018,13173,102449
POLSKA,ogółem,2019,14747,108432
POLSKA,ogółem,2020,12820,65883
POLSKA,ogółem,2021,11338,78780
POLSKA,jelenie,2009,3016,19212
POLSKA,jelenie,2010,3420,26017
POLSKA,jelenie,2011,3824,34370
POLSKA,jelenie,2012,4103,33345
POLSKA,jelenie,2013,4674,30639
POLSKA,jelenie,2014,5024,35733
POLSKA,jelenie,2015,5223,40744
POLSKA,jelenie,2016,5198,45496
POLSKA,jelenie,2017,5554,50854
POLSKA,jelenie,2018,6208,56102
POLSKA,jelenie,2019,6638,54790
POLSKA,jelenie,2020,5971,33223
POLSKA,jelenie,2021,6006,38411
POLSKA,sarny,2009,1820,16867
POLSKA,sarny,2010,1909,20959
POLSKA,sarny,2011,1954,26290
POLSKA,sarny,2012,2119,29297
POLSKA,sarny,2013,2189,27252
POLSKA,sarny,2014,2393,32611
POLSKA,sarny,2015,2296,33343
POLSKA,sarny,2016,2464,39154
POLSKA,sarny,2017,2370,32745
POLSKA,sarny,2018,2650,33627
POLSKA,sarny,2019,2494,32686
POLSKA,sarny,2020,2162,20374
POLSKA,sarny,2021,2258,29081
POLSKA,dziki,2009,2301,6539
POLSKA,dziki,2010,3643,16155
POLSKA,dziki,2011,3494,19501
POLSKA,dziki,2012,3662,17785
POLSKA,dziki,2013,2450,6720
POLSKA,dziki,2014,3362,12762
POLSKA,dziki,2015,5096,23504
POLSKA,dziki,2016,4958,25135
POLSKA,dziki,2017,4226,17631
POLSKA,dziki,2018,4179,11263
POLSKA,dziki,2019,5479,19704
POLSKA,dziki,2020,4582,11651
POLSKA,dziki,2021,2967,10546
DOLNOŚLĄSKIE,ogółem,2009,750,4753
DOLNOŚLĄSKIE,ogółem,2010,832,6013
DOLNOŚLĄSKIE,ogółem,2011,992,8932
DOLNOŚLĄSKIE,ogółem,2012,979,8365
DOLNOŚLĄSKIE,ogółem,2013,957,6981
DOLNOŚLĄSKIE,ogółem,2014,1095,8735
DOLNOŚLĄSKIE,ogółem,2015,1264,10150
DOLNOŚLĄSKIE,ogółem,2016,1365,12576
DOLNOŚLĄSKIE,ogółem,2017,1401,11368
DOLNOŚLĄSKIE,ogółem,2018,1295,10311
DOLNOŚLĄSKIE,ogółem,2019,1659,12265
DOLNOŚLĄSKIE,ogółem,2020,1607,8522
DOLNOŚLĄSKIE,ogółem,2021,1424,10801
DOLNOŚLĄSKIE,jelenie,2009,286,1953
DOLNOŚLĄSKIE,jelenie,2010,275,2253
DOLNOŚLĄSKIE,jelenie,2011,353,3398
DOLNOŚLĄSKIE,jelenie,2012,382,3241
DOLNOŚLĄSKIE,jelenie,2013,450,3069
DOLNOŚLĄSKIE,jelenie,2014,473,3564
DOLNOŚLĄSKIE,jelenie,2015,466,3847
DOLNOŚLĄSKIE,jelenie,2016,535,4915
DOLNOŚLĄSKIE,jelenie,2017,504,4875
DOLNOŚLĄSKIE,jelenie,2018,575,5493
DOLNOŚLĄSKIE,jelenie,2019,637,5621
DOLNOŚLĄSKIE,jelenie,2020,711,4095
DOLNOŚLĄSKIE,jelenie,2021,711,5223
DOLNOŚLĄSKIE,sarny,2009,223,2076
DOLNOŚLĄSKIE,sarny,2010,207,2206
DOLNOŚLĄSKIE,sarny,2011,229,3141
DOLNOŚLĄSKIE,sarny,2012,234,3312
DOLNOŚLĄSKIE,sarny,2013,256,3191
DOLNOŚLĄSKIE,sarny,2014,266,3711
DOLNOŚLĄSKIE,sarny,2015,247,3625
DOLNOŚLĄSKIE,sarny,2016,285,4655
DOLNOŚLĄSKIE,sarny,2017,271,3759
DOLNOŚLĄSKIE,sarny,2018,269,3456
DOLNOŚLĄSKIE,sarny,2019,285,3789
DOLNOŚLĄSKIE,sarny,2020,302,2735
DOLNOŚLĄSKIE,sarny,2021,291,3929
DOLNOŚLĄSKIE,dziki,2009,243,723
DOLNOŚLĄSKIE,dziki,2010,352,1553
DOLNOŚLĄSKIE,dziki,2011,411,2392
DOLNOŚLĄSKIE,dziki,2012,364,1811
DOLNOŚLĄSKIE,dziki,2013,251,719
DOLNOŚLĄSKIE,dziki,2014,354,1439
DOLNOŚLĄSKIE,dziki,2015,548,2648
DOLNOŚLĄSKIE,dziki,2016,541,2974
DOLNOŚLĄSKIE,dziki,2017,620,2678
DOLNOŚLĄSKIE,dziki,2018,443,1289
DOLNOŚLĄSKIE,dziki,2019,725,2754
DOLNOŚLĄSKIE,dziki,2020,583,1638
DOLNOŚLĄSKIE,dziki,2021,405,1556
KUJAWSKO-POMORSKIE,ogółem,2009,301,1945
KUJAWSKO-POMORSKIE,ogółem,2010,409,2914
KUJAWSKO-POMORSKIE,ogółem,2011,409,3507
KUJAWSKO-POMORSKIE,ogółem,2012,516,4329
KUJAWSKO-POMORSKIE,ogółem,2013,475,3399
KUJAWSKO-POMORSKIE,ogółem,2014,516,4072
KUJAWSKO-POMORSKIE,ogółem,2015,650,5035
KUJAWSKO-POMORSKIE,ogółem,2016,682,6078
KUJAWSKO-POMORSKIE,ogółem,2017,682,5492
KUJAWSKO-POMORSKIE,ogółem,2018,643,4842
KUJAWSKO-POMORSKIE,ogółem,2019,711,5145
KUJAWSKO-POMORSKIE,ogółem,2020,685,3482
KUJAWSKO-POMORSKIE,ogółem,2021,565,3645
KUJAWSKO-POMORSKIE,jelenie,2009,149,917
KUJAWSKO-POMORSKIE,jelenie,2010,196,1436
KUJAWSKO-POMORSKIE,jelenie,2011,205,1782
KUJAWSKO-POMORSKIE,jelenie,2012,230,1859
KUJAWSKO-POMORSKIE,jelenie,2013,238,1495
KUJAWSKO-POMORSKIE,jelenie,2014,256,1778
KUJAWSKO-POMORSKIE,jelenie,2015,279,2099
KUJAWSKO-POMORSKIE,jelenie,2016,299,2639
KUJAWSKO-POMORSKIE,jelenie,2017,294,2552
KUJAWSKO-POMORSKIE,jelenie,2018,286,2456
KUJAWSKO-POMORSKIE,jelenie,2019,295,2338
KUJAWSKO-POMORSKIE,jelenie,2020,294,1576
KUJAWSKO-POMORSKIE,jelenie,2021,261,1394
KUJAWSKO-POMORSKIE,sarny,2009,86,838
KUJAWSKO-POMORSKIE,sarny,2010,86,956
KUJAWSKO-POMORSKIE,sarny,2011,85,1091
KUJAWSKO-POMORSKIE,sarny,2012,128,1744
KUJAWSKO-POMORSKIE,sarny,2013,135,1657
KUJAWSKO-POMORSKIE,sarny,2014,132,1774
KUJAWSKO-POMORSKIE,sarny,2015,136,1899
KUJAWSKO-POMORSKIE,sarny,2016,149,2292
KUJAWSKO-POMORSKIE,sarny,2017,141,1882
KUJAWSKO-POMORSKIE,sarny,2018,148,1792
KUJAWSKO-POMORSKIE,sarny,2019,145,1825
KUJAWSKO-POMORSKIE,sarny,2020,135,1235
KUJAWSKO-POMORSKIE,sarny,2021,137,1665
KUJAWSKO-POMORSKIE,dziki,2009,64,157
KUJAWSKO-POMORSKIE,dziki,2010,127,522
KUJAWSKO-POMORSKIE,dziki,2011,121,628
KUJAWSKO-POMORSKIE,dziki,2012,150,649
KUJAWSKO-POMORSKIE,dziki,2013,100,241
KUJAWSKO-POMORSKIE,dziki,2014,119,466
KUJAWSKO-POMORSKIE,dziki,2015,226,978
KUJAWSKO-POMORSKIE,dziki,2016,228,1127
KUJAWSKO-POMORSKIE,dziki,2017,237,986
KUJAWSKO-POMORSKIE,dziki,2018,199,509
KUJAWSKO-POMORSKIE,dziki,2019,259,880
KUJAWSKO-POMORSKIE,dziki,2020,246,615
KUJAWSKO-POMORSKIE,dziki,2021,154,511
LUBELSKIE,ogółem,2009,105,793
LUBELSKIE,ogółem,2010,193,1653
LUBELSKIE,ogółem,2011,336,3288
LUBELSKIE,ogółem,2012,250,2419
LUBELSKIE,ogółem,2013,179,1427
LUBELSKIE,ogółem,2014,223,1957
LUBELSKIE,ogółem,2015,232,2162
LUBELSKIE,ogółem,2016,286,2924
LUBELSKIE,ogółem,2017,311,2931
LUBELSKIE,ogółem,2018,577,5343
LUBELSKIE,ogółem,2019,431,4053
LUBELSKIE,ogółem,2020,201,1431
LUBELSKIE,ogółem,2021,157,1411
LUBELSKIE,jelenie,2009,31,197
LUBELSKIE,jelenie,2010,54,456
LUBELSKIE,jelenie,2011,90,739
LUBELSKIE,jelenie,2012,65,565
LUBELSKIE,jelenie,2013,47,315
LUBELSKIE,jelenie,2014,58,424
LUBELSKIE,jelenie,2015,67,543
LUBELSKIE,jelenie,2016,107,929
LUBELSKIE,jelenie,2017,120,1166
LUBELSKIE,jelenie,2018,262,2547
LUBELSKIE,jelenie,2019,177,1365
LUBELSKIE,jelenie,2020,102,586
LUBELSKIE,jelenie,2021,68,377
LUBELSKIE,sarny,2009,60,559
LUBELSKIE,sarny,2010,82,948
LUBELSKIE,sarny,2011,140,1958
LUBELSKIE,sarny,2012,99,1415
LUBELSKIE,sarny,2013,77,963
LUBELSKIE,sarny,2014,89,1237
LUBELSKIE,sarny,2015,80,1191
LUBELSKIE,sarny,2016,95,1545
LUBELSKIE,sarny,2017,90,1290
LUBELSKIE,sarny,2018,179,2364
LUBELSKIE,sarny,2019,182,2419
LUBELSKIE,sarny,2020,78,800
LUBELSKIE,sarny,2021,76,995
LUBELSKIE,dziki,2009,14,37
LUBELSKIE,dziki,2010,59,247
LUBELSKIE,dziki,2011,106,591
LUBELSKIE,dziki,2012,87,438
LUBELSKIE,dziki,2013,55,149
LUBELSKIE,dziki,2014,76,296
LUBELSKIE,dziki,2015,85,428
LUBELSKIE,dziki,2016,84,448
LUBELSKIE,dziki,2017,101,475
LUBELSKIE,dziki,2018,132,390
LUBELSKIE,dziki,2019,72,266
LUBELSKIE,dziki,2020,21,44
LUBELSKIE,dziki,2021,12,39
LUBUSKIE,ogółem,2009,564,3271
LUBUSKIE,ogółem,2010,588,4153
LUBUSKIE,ogółem,2011,671,5662
LUBUSKIE,ogółem,2012,871,7057
LUBUSKIE,ogółem,2013,713,4701
LUBUSKIE,ogółem,2014,1025,7547
LUBUSKIE,ogółem,2015,1214,9450
LUBUSKIE,ogółem,2016,1064,9328
LUBUSKIE,ogółem,2017,1200,9388
LUBUSKIE,ogółem,2018,740,5462
LUBUSKIE,ogółem,2019,819,5786
LUBUSKIE,ogółem,2020,734,4171
LUBUSKIE,ogółem,2021,556,5166
LUBUSKIE,jelenie,2009,233,1457
LUBUSKIE,jelenie,2010,224,1717
LUBUSKIE,jelenie,2011,260,2385
LUBUSKIE,jelenie,2012,339,2860
LUBUSKIE,jelenie,2013,337,2260
LUBUSKIE,jelenie,2014,451,3240
LUBUSKIE,jelenie,2015,478,3871
LUBUSKIE,jelenie,2016,378,3449
LUBUSKIE,jelenie,2017,448,4222
LUBUSKIE,jelenie,2018,295,2768
LUBUSKIE,jelenie,2019,323,2842
LUBUSKIE,jelenie,2020,381,2324
LUBUSKIE,jelenie,2021,367,2929
LUBUSKIE,sarny,2009,135,1263
LUBUSKIE,sarny,2010,108,1203
LUBUSKIE,sarny,2011,120,1621
LUBUSKIE,sarny,2012,161,2231
LUBUSKIE,sarny,2013,140,1765
LUBUSKIE,sarny,2014,204,2845
LUBUSKIE,sarny,2015,189,2817
LUBUSKIE,sarny,2016,150,2481
LUBUSKIE,sarny,2017,177,2599
LUBUSKIE,sarny,2018,112,1428
LUBUSKIE,sarny,2019,102,1373
LUBUSKIE,sarny,2020,130,1106
LUBUSKIE,sarny,2021,137,2069
LUBUSKIE,dziki,2009,196,550
LUBUSKIE,dziki,2010,254,1196
LUBUSKIE,dziki,2011,288,1647
LUBUSKIE,dziki,2012,373,1965
LUBUSKIE,dziki,2013,237,675
LUBUSKIE,dziki,2014,369,1458
LUBUSKIE,dziki,2015,547,2755
LUBUSKIE,dziki,2016,489,2816
LUBUSKIE,dziki,2017,574,2551
LUBUSKIE,dziki,2018,302,885
LUBUSKIE,dziki,2019,393,1560
LUBUSKIE,dziki,2020,222,731
LUBUSKIE,dziki,2021,51,159
ŁÓDZKIE,ogółem,2009,95,667
ŁÓDZKIE,ogółem,2010,131,1118
ŁÓDZKIE,ogółem,2011,121,1237
ŁÓDZKIE,ogółem,2012,178,1901
ŁÓDZKIE,ogółem,2013,218,2084
ŁÓDZKIE,ogółem,2014,267,2792
ŁÓDZKIE,ogółem,2015,246,2611
ŁÓDZKIE,ogółem,2016,298,3383
ŁÓDZKIE,ogółem,2017,310,3325
ŁÓDZKIE,ogółem,2018,170,1654
ŁÓDZKIE,ogółem,2019,202,1859
ŁÓDZKIE,ogółem,2020,247,1698
ŁÓDZKIE,ogółem,2021,238,2119
ŁÓDZKIE,jelenie,2009,36,225
ŁÓDZKIE,jelenie,2010,50,374
ŁÓDZKIE,jelenie,2011,42,363
ŁÓDZKIE,jelenie,2012,64,530
ŁÓDZKIE,jelenie,2013,82,538
ŁÓDZKIE,jelenie,2014,86,616
ŁÓDZKIE,jelenie,2015,79,625
ŁÓDZKIE,jelenie,2016,105,921
ŁÓDZKIE,jelenie,2017,96,868
ŁÓDZKIE,jelenie,2018,65,571
ŁÓDZKIE,jelenie,2019,80,639
ŁÓDZKIE,jelenie,2020,101,503
ŁÓDZKIE,jelenie,2021,99,526
ŁÓDZKIE,sarny,2009,48,410
ŁÓDZKIE,sarny,2010,64,673
ŁÓDZKIE,sarny,2011,65,792
ŁÓDZKIE,sarny,2012,91,1253
ŁÓDZKIE,sarny,2013,118,1493
ŁÓDZKIE,sarny,2014,148,2043
ŁÓDZKIE,sarny,2015,122,1772
ŁÓDZKIE,sarny,2016,143,2210
ŁÓDZKIE,sarny,2017,148,2159
ŁÓDZKIE,sarny,2018,80,1012
ŁÓDZKIE,sarny,2019,82,1081
ŁÓDZKIE,sarny,2020,116,1128
ŁÓDZKIE,sarny,2021,111,1491
ŁÓDZKIE,dziki,2009,12,30
ŁÓDZKIE,dziki,2010,17,68
ŁÓDZKIE,dziki,2011,17,81
ŁÓDZKIE,dziki,2012,25,114
ŁÓDZKIE,dziki,2013,19,52
ŁÓDZKIE,dziki,2014,32,126
ŁÓDZKIE,dziki,2015,44,203
ŁÓDZKIE,dziki,2016,48,235
ŁÓDZKIE,dziki,2017,64,275
ŁÓDZKIE,dziki,2018,23,56
ŁÓDZKIE,dziki,2019,37,111
ŁÓDZKIE,dziki,2020,26,50
ŁÓDZKIE,dziki,2021,25,79
MAŁOPOLSKIE,ogółem,2009,143,1066
MAŁOPOLSKIE,ogółem,2010,155,1287
MAŁOPOLSKIE,ogółem,2011,209,2134
MAŁOPOLSKIE,ogółem,2012,239,2340
MAŁOPOLSKIE,ogółem,2013,252,2068
MAŁOPOLSKIE,ogółem,2014,227,1981
MAŁOPOLSKIE,ogółem,2015,218,2004
MAŁOPOLSKIE,ogółem,2016,240,2316
MAŁOPOLSKIE,ogółem,2017,284,2705
MAŁOPOLSKIE,ogółem,2018,333,3257
MAŁOPOLSKIE,ogółem,2019,338,2826
MAŁOPOLSKIE,ogółem,2020,297,1860
MAŁOPOLSKIE,ogółem,2021,179,1257
MAŁOPOLSKIE,jelenie,2009,78,513
MAŁOPOLSKIE,jelenie,2010,89,689
MAŁOPOLSKIE,jelenie,2011,116,1065
MAŁOPOLSKIE,jelenie,2012,132,1090
MAŁOPOLSKIE,jelenie,2013,155,1022
MAŁOPOLSKIE,jelenie,2014,140,1031
MAŁOPOLSKIE,jelenie,2015,140,1116
MAŁOPOLSKIE,jelenie,2016,138,1158
MAŁOPOLSKIE,jelenie,2017,146,1358
MAŁOPOLSKIE,jelenie,2018,209,2061
MAŁOPOLSKIE,jelenie,2019,177,1520
MAŁOPOLSKIE,jelenie,2020,195,1082
MAŁOPOLSKIE,jelenie,2021,128,701
MAŁOPOLSKIE,sarny,2009,54,518
MAŁOPOLSKIE,sarny,2010,52,535
MAŁOPOLSKIE,sarny,2011,71,955
MAŁOPOLSKIE,sarny,2012,75,1094
MAŁOPOLSKIE,sarny,2013,76,981
MAŁOPOLSKIE,sarny,2014,59,835
MAŁOPOLSKIE,sarny,2015,48,732
MAŁOPOLSKIE,sarny,2016,58,935
MAŁOPOLSKIE,sarny,2017,68,1008
MAŁOPOLSKIE,sarny,2018,74,1002
MAŁOPOLSKIE,sarny,2019,66,900
MAŁOPOLSKIE,sarny,2020,70,674
MAŁOPOLSKIE,sarny,2021,40,515
MAŁOPOLSKIE,dziki,2009,9,34
MAŁOPOLSKIE,dziki,2010,13,62
MAŁOPOLSKIE,dziki,2011,20,114
MAŁOPOLSKIE,dziki,2012,32,155
MAŁOPOLSKIE,dziki,2013,22,64
MAŁOPOLSKIE,dziki,2014,29,114
MAŁOPOLSKIE,dziki,2015,30,155
MAŁOPOLSKIE,dziki,2016,44,222
MAŁOPOLSKIE,dziki,2017,70,339
MAŁOPOLSKIE,dziki,2018,50,181
MAŁOPOLSKIE,dziki,2019,94,387
MAŁOPOLSKIE,dziki,2020,30,88
MAŁOPOLSKIE,dziki,2021,11,40
MAZOWIECKIE,ogółem,2009,108,776
MAZOWIECKIE,ogółem,2010,680,5824
MAZOWIECKIE,ogółem,2011,159,1656
MAZOWIECKIE,ogółem,2012,153,1439
MAZOWIECKIE,ogółem,2013,132,1087
MAZOWIECKIE,ogółem,2014,215,1595
MAZOWIECKIE,ogółem,2015,173,1571
MAZOWIECKIE,ogółem,2016,198,1988
MAZOWIECKIE,ogółem,2017,134,1257
MAZOWIECKIE,ogółem,2018,190,1693
MAZOWIECKIE,ogółem,2019,222,2038
MAZOWIECKIE,ogółem,2020,186,1289
MAZOWIECKIE,ogółem,2021,149,1177
MAZOWIECKIE,jelenie,2009,43,260
MAZOWIECKIE,jelenie,2010,257,2215
MAZOWIECKIE,jelenie,2011,57,489
MAZOWIECKIE,jelenie,2012,58,479
MAZOWIECKIE,jelenie,2013,57,362
MAZOWIECKIE,jelenie,2014,68,483
MAZOWIECKIE,jelenie,2015,74,558
MAZOWIECKIE,jelenie,2016,86,731
MAZOWIECKIE,jelenie,2017,61,530
MAZOWIECKIE,jelenie,2018,76,647
MAZOWIECKIE,jelenie,2019,100,820
MAZOWIECKIE,jelenie,2020,89,535
MAZOWIECKIE,jelenie,2021,79,417
MAZOWIECKIE,sarny,2009,51,480
MAZOWIECKIE,sarny,2010,222,2613
MAZOWIECKIE,sarny,2011,71,1000
MAZOWIECKIE,sarny,2012,55,753
MAZOWIECKIE,sarny,2013,53,662
MAZOWIECKIE,sarny,2014,59,802
MAZOWIECKIE,sarny,2015,61,851
MAZOWIECKIE,sarny,2016,66,1034
MAZOWIECKIE,sarny,2017,46,608
MAZOWIECKIE,sarny,2018,71,892
MAZOWIECKIE,sarny,2019,86,1068
MAZOWIECKIE,sarny,2020,63,589
MAZOWIECKIE,sarny,2021,61,730
MAZOWIECKIE,dziki,2009,13,31
MAZOWIECKIE,dziki,2010,202,994
MAZOWIECKIE,dziki,2011,32,165
MAZOWIECKIE,dziki,2012,38,205
MAZOWIECKIE,dziki,2013,20,61
MAZOWIECKIE,dziki,2014,87,309
MAZOWIECKIE,dziki,2015,38,161
MAZOWIECKIE,dziki,2016,44,211
MAZOWIECKIE,dziki,2017,26,112
MAZOWIECKIE,dziki,2018,42,140
MAZOWIECKIE,dziki,2019,34,142
MAZOWIECKIE,dziki,2020,33,157
MAZOWIECKIE,dziki,2021,7,22
OPOLSKIE,ogółem,2009,814,4310
OPOLSKIE,ogółem,2010,567,3489
OPOLSKIE,ogółem,2011,641,5571
OPOLSKIE,ogółem,2012,576,4654
OPOLSKIE,ogółem,2013,582,4012
OPOLSKIE,ogółem,2014,628,5093
OPOLSKIE,ogółem,2015,667,5291
OPOLSKIE,ogółem,2016,745,6614
OPOLSKIE,ogółem,2017,747,6167
OPOLSKIE,ogółem,2018,622,5242
OPOLSKIE,ogółem,2019,673,5364
OPOLSKIE,ogółem,2020,403,2215
OPOLSKIE,ogółem,2021,393,2726
OPOLSKIE,jelenie,2009,269,1848
OPOLSKIE,jelenie,2010,189,1457
OPOLSKIE,jelenie,2011,240,2215
OPOLSKIE,jelenie,2012,238,1814
OPOLSKIE,jelenie,2013,302,2030
OPOLSKIE,jelenie,2014,270,2020
OPOLSKIE,jelenie,2015,265,1995
OPOLSKIE,jelenie,2016,310,2593
OPOLSKIE,jelenie,2017,311,2740
OPOLSKIE,jelenie,2018,272,2351
OPOLSKIE,jelenie,2019,282,2377
OPOLSKIE,jelenie,2020,177,913
OPOLSKIE,jelenie,2021,181,1018
OPOLSKIE,sarny,2009,172,1347
OPOLSKIE,sarny,2010,107,988
OPOLSKIE,sarny,2011,124,1736
OPOLSKIE,sarny,2012,137,1887
OPOLSKIE,sarny,2013,118,1503
OPOLSKIE,sarny,2014,165,2324
OPOLSKIE,sarny,2015,150,2173
OPOLSKIE,sarny,2016,179,2793
OPOLSKIE,sarny,2017,171,2343
OPOLSKIE,sarny,2018,169,2252
OPOLSKIE,sarny,2019,151,2013
OPOLSKIE,sarny,2020,103,993
OPOLSKIE,sarny,2021,107,1331
OPOLSKIE,dziki,2009,372,1115
